hs6,product_label,years_present,avg_RSCA
570320,"Carpets and other floor coverings, of nylon or other polyamides, tufted ""needle punched"", whether ...",3,1.0
291431,"Phenylacetone ""phenylpropan-2-one""",6,1.0
690890,"Glazed ceramic flags and paving, hearth or wall tiles; glazed ceramic mosaic cubes and the ...",8,1.0
293972,"Cocaine, ecgonine; salts, esters and other derivatives thereof",3,1.0
940390,"Parts of furniture, n.e.s. (excluding of seats and medical, surgical, dental or veterinary ...",3,1.0
80300,"Bananas, incl. plantains, fresh or dried",12,1.0
281217,Thionyl chloride,8,1.0
291817,"2,2-Diphenyl-2-hydroxyacetic acid ""benzilic acid""",7,1.0
890391,"Sailboats and yachts, with or without auxiliary motor, for pleasure or sports",3,1.0
300230,Vaccines for veterinary medicine,3,1.0
880320,"Under-carriages and parts thereof, for aircraft, n.e.s.",3,1.0
300219,"Immunological products, n.e.s. (code possibly empty, preceding subheadings seem exhaustive)",3,1.0
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",3,1.0
30782,"Live, fresh or chilled, even in shell, stromboid conchs ""Strombus spp.""",8,1.0
121210,"Locust beans, incl. locust bean seed, fresh, chilled, frozen or dried, whether or not ground",3,1.0
20850,"Fresh, chilled or frozen meat and edible offal of reptiles ""e.g. snakes, turtles, crocodiles""",12,1.0
293492,"Fentanyls and their derivatives (excl. with nitrogen hetero-atom[s] only, and products of 2934.91)",3,1.0
293154,"Trichlorfon ""ISO""",3,1.0
293133,Diethyl ethylphosphonate,5,1.0
846021,"Grinding machines, for working metal, in which the positioning in any one axis can be set up ...",4,1.0
441890,"Builders' joinery and carpentry, of wood, incl. cellular wood panels (excluding windows, French ...",8,1.0
283610,Commercial ammonium carbonate and other ammonium carbonates,4,1.0
950890,"Roundabouts, swings, shooting galleries and other fairground amusements; travelling theatres ...",3,1.0
930590,"Parts and accessories for weapons and the like of headings 9301, 9303 or 9304, n.e.s.",10,1.0
950299,"Parts and accessories for dolls representing only human beings, n.e.s.",5,1.0
292425,"Alachlor ""ISO""",7,1.0
120720,"Cotton seeds, whether or not broken",9,1.0
300210,"Antisera and other blood fractions and immunological products, whether or not modified or obtained ...",8,1.0
290392,"Hexachlorobenzene (ISO) and DDT (ISO) (clofenotane (INN), 1,1,1-trichloro-2,2-bis(p-chloro ...",12,1.0
281215,Sulphur monochloride,8,1.0
80290,"Nuts, fresh or dried, whether or not shelled or peeled (excluding coconuts, Brazil nuts, cashew ...",3,1.0
130214,Saps and extracts of ephedra,7,1.0
293337,"N-Phenethyl-4-piperidone ""NPP""",3,1.0
293971,"Cocaine, ecgonine, levometamfetamine, metamfetamine ""INN"", metamfetamine racemate, and salts, ...",5,1.0
530590,"Ramie and other vegetable textile fibres, n.e.s., raw or processed, but not spun; tow, noils ...",5,1.0
940130,"Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, ...",3,1.0
70990,"Fresh or chilled vegetables (excluding potatoes, tomatoes, vegetables of the Allium spp., cabbages ...",12,1.0
441860,"Posts and beams, of wood",3,1.0
292214,"Dextropropoxyphene ""INN"" and its salts",9,1.0
292022,Diethyl phosphite,8,1.0
440920,"Wood, incl. strips and friezes for parquet flooring, not assembled, continuously shaped ""tongued, ...",10,1.0
940140,"Seats, convertible into beds (excluding garden seats and camping equipment, and medical, dental ...",3,1.0
681510,"Articles of graphite or other carbon, incl. carbon fibres, for non-electrical purposes",3,1.0
340213,"Non-ionic organic surface-active agents, whether or not put up for retail sale (excluding soap)",3,1.0
