hs6,partner_count,partners
070951,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
071040,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
071220,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
071310,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
071320,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
071331,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
071332,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
071335,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
071339,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
071340,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
071350,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
071390,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
071420,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
071490,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
080111,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
080119,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
080132,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
080211,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
080231,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
080232,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
080251,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
080262,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
080290,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
080299,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
080310,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
080410,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
080440,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
080450,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
080520,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
080521,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
080529,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
080540,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
080620,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
080720,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
081090,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
081110,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
081120,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
081320,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
090111,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
090210,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
090220,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
090230,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
090240,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
